"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"US","Etowah County, AL","US1055",2022-05-01,2022-05-31,30,2022,"5",0,136,0,116.514866508545,19.4851334914551,136,NA,Inf,0.167233024208341,31.7333333333333,0,27.1868021853271,4.5465311480062,31.7333333333333,NA,Inf
"US","Etowah County, AL","US1055",2022-06-01,2022-06-30,29,2022,"6",0,126,0,106.777704291593,19.2222957084066,126,NA,Inf,0.180021623764391,30.4137931034483,0,25.7739286221087,4.63986448133952,30.4137931034483,NA,Inf
"US","Etowah County, AL","US1055",2022-07-01,2022-07-31,30,2022,"7",0,138,0,109.514866508545,28.4851334914551,138,NA,Inf,0.260102891959719,32.2,0,25.5534688519938,6.64653114800619,32.2,NA,Inf
"US","Etowah County, AL","US1055",2022-08-01,2022-08-31,30,2022,"8",0,126,0,112.314866508545,13.6851334914551,126,NA,Inf,0.121846144832608,29.4,0,26.2068021853271,3.19319781467286,29.4,NA,Inf
"US","Etowah County, AL","US1055",2022-09-01,2022-09-30,29,2022,"9",0,134,0,104.977704291593,29.0222957084066,134,NA,Inf,0.276461520131858,32.3448275862069,0,25.3394458634881,7.00538172271883,32.3448275862069,NA,Inf
"US","Etowah County, AL","US1055",2022-10-01,2022-10-31,30,2022,"10",0,127,0,118.314866508545,8.68513349145513,127,NA,Inf,0.073406950011881,29.6333333333333,0,27.6068021853271,2.0265311480062,29.6333333333333,NA,Inf
"US","Etowah County, AL","US1055",2022-11-01,2022-11-30,29,2022,"11",0,149,0,114.977704291593,34.0222957084066,149,NA,Inf,0.295903418128119,35.9655172413793,0,27.7532389669363,8.21227827444298,35.9655172413793,NA,Inf
"US","Etowah County, AL","US1055",2022-12-01,2022-12-31,30,2022,"12",0,148,0,122.714866508545,25.2851334914551,148,NA,Inf,0.206047842538251,34.5333333333333,0,28.6334688519938,5.89986448133952,34.5333333333333,NA,Inf
"US","Etowah County, AL","US1055",2023-01-01,2023-01-31,30,2023,"1",0,131,0,125.426353159399,5.57364684060056,131,NA,Inf,0.044437605815719,30.5666666666667,0,29.2661490705265,1.30051759614013,30.5666666666667,NA,Inf
"US","Etowah County, AL","US1055",2023-02-01,2023-02-28,27,2023,"2",0,113,0,121.770622605364,-8.77062260536412,113,NA,-Inf,-0.0720257679373791,29.2962962962963,0,31.5701614162055,-2.27386511990922,29.2962962962963,NA,-Inf
"US","Etowah County, AL","US1055",2023-03-01,2023-03-31,30,2023,"3",0,132,0,117.537839810254,14.4621601897462,132,NA,Inf,0.1230425896298,30.8,0,27.4254959557259,3.37450404427412,30.8,NA,Inf
"US","Etowah County, AL","US1055",2023-04-01,2023-04-30,29,2023,"4",0,127,0,119.213245149912,7.78675485008799,127,NA,Inf,0.0653178666539616,30.6551724137931,0,28.7756108982546,1.87956151553848,30.6551724137931,NA,Inf
"US","Etowah County, AL","US1055",2023-05-01,2023-05-31,30,2023,"5",0,61,0,116.137839810254,-55.1378398102538,61,NA,-Inf,-0.474762057743954,14.2333333333333,0,27.0988292890592,-12.8654959557259,14.2333333333333,NA,-Inf
"US","Etowah County, AL","US1055",2020-01-01,2020-01-31,30,2020,"1",0,111,0,126.557433254272,-15.5574332542725,111,NA,-Inf,-0.122927850654298,25.9,0,29.5300677593302,-3.63006775933025,25.9,NA,-Inf
"US","Etowah County, AL","US1055",2020-02-01,2020-02-29,28,2020,"2",0,130,0,127.336320420037,2.66367957996309,130,NA,Inf,0.0209184588590008,32.5,0,31.8340801050092,0.665919894990772,32.5,NA,Inf
"US","Etowah County, AL","US1055",2020-03-01,2020-03-31,30,2020,"3",0,114,0,118.668919905127,-4.66891990512684,114,NA,-Inf,-0.0393440835971166,26.6,0,27.6894146445296,-1.0894146445296,26.6,NA,-Inf
"US","Etowah County, AL","US1055",2020-04-01,2020-04-30,29,2020,"4",0,128,0,120.306622574956,7.69337742504403,128,NA,Inf,0.0639480791695466,30.8965517241379,0,29.0395295870583,1.85702213707959,30.8965517241379,NA,Inf
"US","Etowah County, AL","US1055",2020-05-01,2020-05-31,30,2020,"5",0,129,0,117.268919905127,11.7310800948732,129,NA,Inf,0.10003571367728,30.1,0,27.3627479778629,2.73725202213707,30.1,NA,Inf
"US","Etowah County, AL","US1055",2020-06-01,2020-06-30,29,2020,"6",0,110,0,107.506622574956,2.49337742504405,110,NA,Inf,0.0231927798057801,26.551724137931,0,25.9498744146445,0.601849723286494,26.551724137931,NA,Inf
"US","Etowah County, AL","US1055",2020-07-01,2020-07-31,30,2020,"7",0,171,0,110.268919905127,60.7310800948731,171,NA,Inf,0.550754284590118,39.9,0,25.7294146445296,14.1705853554704,39.9,NA,Inf
"US","Etowah County, AL","US1055",2020-08-01,2020-08-31,30,2020,"8",0,175,0,113.068919905127,61.9310800948732,175,NA,Inf,0.547728590198243,40.8333333333333,0,26.3827479778629,14.4505853554704,40.8333333333333,NA,Inf
"US","Etowah County, AL","US1055",2020-09-01,2020-09-30,29,2020,"9",0,147,0,105.706622574956,41.293377425044,147,NA,Inf,0.390641346957833,35.4827586206897,0,25.5153916560239,9.9673669646658,35.4827586206897,NA,Inf
"US","Etowah County, AL","US1055",2020-10-01,2020-10-31,30,2020,"10",0,132,0,119.068919905127,12.9310800948732,132,NA,Inf,0.10860164100906,30.8,0,27.7827479778629,3.01725202213707,30.8,NA,Inf
"US","Etowah County, AL","US1055",2020-11-01,2020-11-30,29,2020,"11",0,134,0,115.706622574956,18.293377425044,134,NA,Inf,0.158101386229586,32.3448275862069,0,27.9291847594721,4.41564282673477,32.3448275862069,NA,Inf
"US","Etowah County, AL","US1055",2020-12-01,2020-12-31,30,2020,"12",0,206,0,123.468919905127,82.5310800948731,206,NA,Inf,0.668436074100994,48.0666666666667,0,28.8094146445296,19.2572520221371,48.0666666666667,NA,Inf
"US","Etowah County, AL","US1055",2021-01-01,2021-01-31,30,2021,"1",0,201,0,126.180406555982,74.8195934440185,201,NA,Inf,0.592957302058017,46.9,0,29.4420948630624,17.4579051369377,46.9,NA,Inf
"US","Etowah County, AL","US1055",2021-02-01,2021-02-28,27,2021,"2",0,144,0,122.449270662288,21.550729337712,144,NA,Inf,0.175997204566031,37.3333333333333,0,31.7461072087413,5.587226124592,37.3333333333333,NA,Inf
"US","Etowah County, AL","US1055",2021-03-01,2021-03-31,30,2021,"3",0,155,0,118.291893206836,36.7081067931641,155,NA,Inf,0.31031802601197,36.1666666666667,0,27.6014417482617,8.56522491840497,36.1666666666667,NA,Inf
"US","Etowah County, AL","US1055",2021-04-01,2021-04-30,29,2021,"4",0,128,0,119.942163433275,8.05783656672533,128,NA,Inf,0.067181017384333,30.8965517241379,0,28.9515566907904,1.94499503334749,30.8965517241379,NA,Inf
"US","Etowah County, AL","US1055",2021-05-01,2021-05-31,30,2021,"5",0,164,0,116.891893206836,47.1081067931641,164,NA,Inf,0.403005764564084,38.2666666666667,0,27.274775081595,10.9918915850716,38.2666666666667,NA,Inf
"US","Etowah County, AL","US1055",2021-06-01,2021-06-30,29,2021,"6",0,127,0,107.142163433275,19.8578365667253,127,NA,Inf,0.185341007969213,30.6551724137931,0,25.8619015183766,4.79327089541646,30.6551724137931,NA,Inf
"US","Etowah County, AL","US1055",2021-07-01,2021-07-31,30,2021,"7",0,128,0,109.891893206836,18.1081067931641,128,NA,Inf,0.164781097720116,29.8666666666667,0,25.6414417482617,4.22522491840496,29.8666666666667,NA,Inf
"US","Etowah County, AL","US1055",2021-08-01,2021-08-31,30,2021,"8",0,171,0,112.691893206836,58.3081067931641,171,NA,Inf,0.517411724427638,39.9,0,26.294775081595,13.605224918405,39.9,NA,Inf
"US","Etowah County, AL","US1055",2021-09-01,2021-09-30,29,2021,"9",0,194,0,105.342163433275,88.6578365667253,194,NA,Inf,0.841617768965629,46.8275862068965,0,25.427418759756,21.4001674471406,46.8275862068965,NA,Inf
"US","Etowah County, AL","US1055",2021-10-01,2021-10-31,30,2021,"10",0,154,0,118.691893206836,35.3081067931642,154,NA,Inf,0.297476987174139,35.9333333333333,0,27.694775081595,8.2385582517383,35.9333333333333,NA,Inf
"US","Etowah County, AL","US1055",2021-11-01,2021-11-30,29,2021,"11",0,134,0,115.342163433275,18.6578365667253,134,NA,Inf,0.161760764765947,32.3448275862069,0,27.8412118632042,4.50361572300266,32.3448275862069,NA,Inf
"US","Etowah County, AL","US1055",2021-12-01,2021-12-31,30,2021,"12",0,126,0,123.091893206836,2.90810679316412,126,NA,Inf,0.0236254940711451,29.4,0,28.7214417482617,0.678558251738295,29.4,NA,Inf
"US","Etowah County, AL","US1055",2022-01-01,2022-01-31,30,2022,"1",0,215,0,125.803379857691,89.1966201423095,215,NA,Inf,0.709016087192643,50.1666666666667,0,29.3541219667945,20.8125446998722,50.1666666666667,NA,Inf
"US","Etowah County, AL","US1055",2022-02-01,2022-02-28,27,2022,"2",0,180,0,122.109946633826,57.8900533661739,180,NA,Inf,0.474081391090688,46.6666666666667,0,31.6581343124734,15.0085323541932,46.6666666666667,NA,Inf
"US","Etowah County, AL","US1055",2022-03-01,2022-03-31,30,2022,"3",0,140,0,117.914866508545,22.0851334914551,140,NA,Inf,0.187297277649504,32.6666666666667,0,27.5134688519938,5.15319781467286,32.6666666666667,NA,Inf
"US","Etowah County, AL","US1055",2022-04-01,2022-04-30,29,2022,"4",0,122,0,119.577704291593,2.42229570840661,122,NA,Inf,0.0202570849035517,29.448275862069,0,28.8635837945225,0.584692067546423,29.448275862069,NA,Inf
"US","Etowah County, AL","US1055",2022-05-01,2022-05-31,30,2022,"5",0,136,0,116.514866508545,19.4851334914551,136,NA,Inf,0.167233024208341,31.7333333333333,0,27.1868021853271,4.5465311480062,31.7333333333333,NA,Inf
"US","Etowah County, AL","US1055",2022-06-01,2022-06-30,29,2022,"6",0,126,0,106.777704291593,19.2222957084066,126,NA,Inf,0.180021623764391,30.4137931034483,0,25.7739286221087,4.63986448133952,30.4137931034483,NA,Inf
"US","Etowah County, AL","US1055",2022-07-01,2022-07-31,30,2022,"7",0,138,0,109.514866508545,28.4851334914551,138,NA,Inf,0.260102891959719,32.2,0,25.5534688519938,6.64653114800619,32.2,NA,Inf
"US","Etowah County, AL","US1055",2022-08-01,2022-08-31,30,2022,"8",0,126,0,112.314866508545,13.6851334914551,126,NA,Inf,0.121846144832608,29.4,0,26.2068021853271,3.19319781467286,29.4,NA,Inf
"US","Etowah County, AL","US1055",2022-09-01,2022-09-30,29,2022,"9",0,134,0,104.977704291593,29.0222957084066,134,NA,Inf,0.276461520131858,32.3448275862069,0,25.3394458634881,7.00538172271883,32.3448275862069,NA,Inf
"US","Etowah County, AL","US1055",2022-10-01,2022-10-31,30,2022,"10",0,127,0,118.314866508545,8.68513349145513,127,NA,Inf,0.073406950011881,29.6333333333333,0,27.6068021853271,2.0265311480062,29.6333333333333,NA,Inf
"US","Etowah County, AL","US1055",2022-11-01,2022-11-30,29,2022,"11",0,149,0,114.977704291593,34.0222957084066,149,NA,Inf,0.295903418128119,35.9655172413793,0,27.7532389669363,8.21227827444298,35.9655172413793,NA,Inf
"US","Etowah County, AL","US1055",2022-12-01,2022-12-31,30,2022,"12",0,148,0,122.714866508545,25.2851334914551,148,NA,Inf,0.206047842538251,34.5333333333333,0,28.6334688519938,5.89986448133952,34.5333333333333,NA,Inf
"US","Etowah County, AL","US1055",2023-01-01,2023-01-31,30,2023,"1",0,131,0,125.426353159399,5.57364684060056,131,NA,Inf,0.044437605815719,30.5666666666667,0,29.2661490705265,1.30051759614013,30.5666666666667,NA,Inf
"US","Etowah County, AL","US1055",2023-02-01,2023-02-28,27,2023,"2",0,113,0,121.770622605364,-8.77062260536412,113,NA,-Inf,-0.0720257679373791,29.2962962962963,0,31.5701614162055,-2.27386511990922,29.2962962962963,NA,-Inf
"US","Etowah County, AL","US1055",2023-03-01,2023-03-31,30,2023,"3",0,132,0,117.537839810254,14.4621601897462,132,NA,Inf,0.1230425896298,30.8,0,27.4254959557259,3.37450404427412,30.8,NA,Inf
"US","Etowah County, AL","US1055",2023-04-01,2023-04-30,29,2023,"4",0,127,0,119.213245149912,7.78675485008799,127,NA,Inf,0.0653178666539616,30.6551724137931,0,28.7756108982546,1.87956151553848,30.6551724137931,NA,Inf
"US","Etowah County, AL","US1055",2023-05-01,2023-05-31,30,2023,"5",0,61,0,116.137839810254,-55.1378398102538,61,NA,-Inf,-0.474762057743954,14.2333333333333,0,27.0988292890592,-12.8654959557259,14.2333333333333,NA,-Inf
