"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"US","Blount County, AL","US1009",2022-05-01,2022-05-31,30,2022,"5",0,73,0,63.2567029536387,9.74329704636134,73,NA,Inf,0.154027898885313,17.0333333333333,0,14.759897355849,2.27343597748431,17.0333333333333,NA,Inf
"US","Blount County, AL","US1009",2022-06-01,2022-06-30,29,2022,"6",0,59,0,60.8014795218507,-1.80147952185069,59,NA,-Inf,-0.0296288764026422,14.2413793103448,0,14.6762191949295,-0.43483988458465,14.2413793103448,NA,-Inf
"US","Blount County, AL","US1009",2022-07-01,2022-07-31,30,2022,"7",0,65,0,68.4567029536387,-3.45670295363865,65,NA,-Inf,-0.0504947332327655,15.1666666666667,0,15.9732306891824,-0.806564022515686,15.1666666666667,NA,-Inf
"US","Blount County, AL","US1009",2022-08-01,2022-08-31,30,2022,"8",0,64,0,59.6567029536386,4.34329704636135,64,NA,Inf,0.0728048455801635,14.9333333333333,0,13.919897355849,1.01343597748432,14.9333333333333,NA,Inf
"US","Blount County, AL","US1009",2022-09-01,2022-09-30,29,2022,"9",0,72,0,62.8014795218507,9.19852047814931,72,NA,Inf,0.146469805300508,17.3793103448276,0,15.1589778156191,2.22033252920845,17.3793103448276,NA,Inf
"US","Blount County, AL","US1009",2022-10-01,2022-10-31,30,2022,"10",0,71,0,62.0567029536386,8.94329704636135,71,NA,Inf,0.144114924266001,16.5666666666667,0,14.479897355849,2.08676931081765,16.5666666666667,NA,Inf
"US","Blount County, AL","US1009",2022-11-01,2022-11-30,29,2022,"11",0,56,0,60.0014795218507,-4.0014795218507,56,NA,-Inf,-0.0666896808835102,13.5172413793103,0,14.4831157466536,-0.965874367343272,13.5172413793103,NA,-Inf
"US","Blount County, AL","US1009",2022-12-01,2022-12-31,30,2022,"12",0,72,0,72.6567029536386,-0.656702953638643,72,NA,-Inf,-0.00903843591771125,16.8,0,16.9532306891823,-0.15323068918235,16.8,NA,-Inf
"US","Blount County, AL","US1009",2023-01-01,2023-01-31,30,2023,"1",0,65,0,64.9223732490017,0.0776267509982631,65,NA,Inf,0.00119568566448636,15.1666666666667,0,15.1485537581004,0.0181129085662614,15.1666666666667,NA,Inf
"US","Blount County, AL","US1009",2023-02-01,2023-02-28,27,2023,"2",0,62,0,67.1039454479116,-5.1039454479116,62,NA,-Inf,-0.0760602884650569,16.0740740740741,0,17.3973191901993,-1.32324511612523,16.0740740740741,NA,-Inf
"US","Blount County, AL","US1009",2023-03-01,2023-03-31,30,2023,"3",0,60,0,69.9880435443662,-9.98804354436621,60,NA,-Inf,-0.142710712266656,14,0,16.3305434936855,-2.33054349368545,14,NA,-Inf
"US","Blount County, AL","US1009",2023-04-01,2023-04-30,29,2023,"4",0,53,0,68.0817754262207,-15.0817754262207,53,NA,-Inf,-0.221524414306213,12.7931034482759,0,16.4335319994326,-3.64042855115671,12.7931034482759,NA,-Inf
"US","Blount County, AL","US1009",2023-05-01,2023-05-31,30,2023,"5",0,26,0,64.7880435443662,-38.7880435443662,26,NA,-Inf,-0.598691385360395,6.06666666666667,0,15.1172101603521,-9.05054349368545,6.06666666666667,NA,-Inf
"US","Blount County, AL","US1009",2020-01-01,2020-01-31,30,2020,"1",0,49,0,60.3283514768187,-11.3283514768187,49,NA,-Inf,-0.187778236923507,11.4333333333333,0,14.076615344591,-2.64328201125769,11.4333333333333,NA,-Inf
"US","Blount County, AL","US1009",2020-02-01,2020-02-29,28,2020,"2",0,69,0,65.3015231067597,3.69847689324033,69,NA,Inf,0.0566369162200671,17.25,0,16.3253807766899,0.924619223310081,17.25,NA,Inf
"US","Blount County, AL","US1009",2020-03-01,2020-03-31,30,2020,"3",0,51,0,65.3940217721831,-14.3940217721831,51,NA,-Inf,-0.220112196529652,11.9,0,15.2586050801761,-3.35860508017606,11.9,NA,-Inf
"US","Blount County, AL","US1009",2020-04-01,2020-04-30,29,2020,"4",0,67,0,63.6408877131104,3.35911228688965,67,NA,Inf,0.0527822977899419,16.1724137931034,0,15.3615935859232,0.81082020718026,16.1724137931034,NA,Inf
"US","Blount County, AL","US1009",2020-05-01,2020-05-31,30,2020,"5",0,61,0,60.1940217721831,0.805978227816873,61,NA,Inf,0.0133896723310376,14.2333333333333,0,14.0452717468427,0.188061586490604,14.2333333333333,NA,Inf
"US","Blount County, AL","US1009",2020-06-01,2020-06-30,29,2020,"6",0,75,0,57.8408877131103,17.1591122868897,75,NA,Inf,0.296660597119438,18.1034482758621,0,13.9615935859232,4.14185468993888,18.1034482758621,NA,Inf
"US","Blount County, AL","US1009",2020-07-01,2020-07-31,30,2020,"7",0,74,0,65.3940217721831,8.60597822781688,74,NA,Inf,0.13160191091776,17.2666666666667,0,15.2586050801761,2.0080615864906,17.2666666666667,NA,Inf
"US","Blount County, AL","US1009",2020-08-01,2020-08-31,30,2020,"8",0,88,0,56.5940217721831,31.4059782278169,88,NA,Inf,0.554934553939996,20.5333333333333,0,13.2052717468427,7.32806158649061,20.5333333333333,NA,Inf
"US","Blount County, AL","US1009",2020-09-01,2020-09-30,29,2020,"9",0,60,0,59.8408877131103,0.159112286889659,60,NA,Inf,0.00265892256900457,14.4827586206897,0,14.4443522066128,0.0384064140768143,14.4827586206897,NA,Inf
"US","Blount County, AL","US1009",2020-10-01,2020-10-31,30,2020,"10",0,66,0,58.9940217721831,7.00597822781688,66,NA,Inf,0.118757426894403,15.4,0,13.7652717468427,1.63472825315727,15.4,NA,Inf
"US","Blount County, AL","US1009",2020-11-01,2020-11-30,29,2020,"11",0,71,0,57.0408877131104,13.9591122868896,71,NA,Inf,0.244721161372832,17.1379310344828,0,13.7684901376473,3.36944089683543,17.1379310344828,NA,Inf
"US","Blount County, AL","US1009",2020-12-01,2020-12-31,30,2020,"12",0,118,0,69.5940217721831,48.4059782278169,118,NA,Inf,0.695547936376985,27.5333333333333,0,16.2386050801761,11.2947282531573,27.5333333333333,NA,Inf
"US","Blount County, AL","US1009",2021-01-01,2021-01-31,30,2021,"1",0,98,0,61.8596920675462,36.1403079324538,98,NA,Inf,0.584230323891546,22.8666666666667,0,14.4339281490941,8.43273851757255,22.8666666666667,NA,Inf
"US","Blount County, AL","US1009",2021-02-01,2021-02-28,27,2021,"2",0,53,0,64.3475323846016,-11.3475323846016,53,NA,-Inf,-0.17634759196014,13.7407407407407,0,16.682693581193,-2.94195284045227,13.7407407407407,NA,-Inf
"US","Blount County, AL","US1009",2021-03-01,2021-03-31,30,2021,"3",0,59,0,66.9253623629107,-7.92536236291068,59,NA,-Inf,-0.118420910744337,13.7666666666667,0,15.6159178846792,-1.84925121801249,13.7666666666667,NA,-Inf
"US","Blount County, AL","US1009",2021-04-01,2021-04-30,29,2021,"4",0,61,0,65.1211836174803,-4.12118361748033,61,NA,-Inf,-0.0632848389502259,14.7241379310345,0,15.7189063904263,-0.994768459391803,14.7241379310345,NA,-Inf
"US","Blount County, AL","US1009",2021-05-01,2021-05-31,30,2021,"5",0,69,0,61.7253623629107,7.27463763708932,69,NA,Inf,0.117854919900162,16.1,0,14.4025845513458,1.69741544865417,16.1,NA,Inf
"US","Blount County, AL","US1009",2021-06-01,2021-06-30,29,2021,"6",0,59,0,59.3211836174803,-0.321183617480315,59,NA,-Inf,-0.00541431572828011,14.2413793103448,0,14.3189063904263,-0.0775270800814554,14.2413793103448,NA,-Inf
"US","Blount County, AL","US1009",2021-07-01,2021-07-31,30,2021,"7",0,69,0,66.9253623629107,2.07463763708932,69,NA,Inf,0.0309992738752665,16.1,0,15.6159178846792,0.484082115320842,16.1,NA,Inf
"US","Blount County, AL","US1009",2021-08-01,2021-08-31,30,2021,"8",0,78,0,58.1253623629107,19.8746376370893,78,NA,Inf,0.341927118028105,18.2,0,13.5625845513458,4.63741544865418,18.2,NA,Inf
"US","Blount County, AL","US1009",2021-09-01,2021-09-30,29,2021,"9",0,85,0,61.3211836174803,23.6788163825197,85,NA,Inf,0.386144150938564,20.5172413793103,0,14.8016650111159,5.71557636819441,20.5172413793103,NA,Inf
"US","Blount County, AL","US1009",2021-10-01,2021-10-31,30,2021,"10",0,71,0,60.5253623629107,10.4746376370893,71,NA,Inf,0.173061956643618,16.5666666666667,0,14.1225845513458,2.44408211532084,16.5666666666667,NA,Inf
"US","Blount County, AL","US1009",2021-11-01,2021-11-30,29,2021,"11",0,73,0,58.5211836174803,14.4788163825197,73,NA,Inf,0.247411543778052,17.6206896551724,0,14.1258029421504,3.49488671302199,17.6206896551724,NA,Inf
"US","Blount County, AL","US1009",2021-12-01,2021-12-31,30,2021,"12",0,66,0,71.1253623629107,-5.12536236291066,66,NA,-Inf,-0.0720609666177723,15.4,0,16.5959178846792,-1.19591788467915,15.4,NA,-Inf
"US","Blount County, AL","US1009",2022-01-01,2022-01-31,30,2022,"1",0,84,0,63.3910326582742,20.6089673417258,84,NA,Inf,0.325108559957113,19.6,0,14.7912409535973,4.80875904640269,19.6,NA,Inf
"US","Blount County, AL","US1009",2022-02-01,2022-02-28,27,2022,"2",0,78,0,65.7257389162568,12.2742610837432,78,NA,Inf,0.186749685680707,20.2222222222222,0,17.0400063856962,3.18221583652601,20.2222222222222,NA,Inf
"US","Blount County, AL","US1009",2022-03-01,2022-03-31,30,2022,"3",0,78,0,68.4567029536387,9.54329704636135,78,NA,Inf,0.139406320120681,18.2,0,15.9732306891824,2.22676931081765,18.2,NA,Inf
"US","Blount County, AL","US1009",2022-04-01,2022-04-30,29,2022,"4",0,58,0,66.6014795218507,-8.60147952185071,58,NA,-Inf,-0.129148475133029,14,0,16.0762191949295,-2.07621919492948,14,NA,-Inf
"US","Blount County, AL","US1009",2022-05-01,2022-05-31,30,2022,"5",0,73,0,63.2567029536387,9.74329704636134,73,NA,Inf,0.154027898885313,17.0333333333333,0,14.759897355849,2.27343597748431,17.0333333333333,NA,Inf
"US","Blount County, AL","US1009",2022-06-01,2022-06-30,29,2022,"6",0,59,0,60.8014795218507,-1.80147952185069,59,NA,-Inf,-0.0296288764026422,14.2413793103448,0,14.6762191949295,-0.43483988458465,14.2413793103448,NA,-Inf
"US","Blount County, AL","US1009",2022-07-01,2022-07-31,30,2022,"7",0,65,0,68.4567029536387,-3.45670295363865,65,NA,-Inf,-0.0504947332327655,15.1666666666667,0,15.9732306891824,-0.806564022515686,15.1666666666667,NA,-Inf
"US","Blount County, AL","US1009",2022-08-01,2022-08-31,30,2022,"8",0,64,0,59.6567029536386,4.34329704636135,64,NA,Inf,0.0728048455801635,14.9333333333333,0,13.919897355849,1.01343597748432,14.9333333333333,NA,Inf
"US","Blount County, AL","US1009",2022-09-01,2022-09-30,29,2022,"9",0,72,0,62.8014795218507,9.19852047814931,72,NA,Inf,0.146469805300508,17.3793103448276,0,15.1589778156191,2.22033252920845,17.3793103448276,NA,Inf
"US","Blount County, AL","US1009",2022-10-01,2022-10-31,30,2022,"10",0,71,0,62.0567029536386,8.94329704636135,71,NA,Inf,0.144114924266001,16.5666666666667,0,14.479897355849,2.08676931081765,16.5666666666667,NA,Inf
"US","Blount County, AL","US1009",2022-11-01,2022-11-30,29,2022,"11",0,56,0,60.0014795218507,-4.0014795218507,56,NA,-Inf,-0.0666896808835102,13.5172413793103,0,14.4831157466536,-0.965874367343272,13.5172413793103,NA,-Inf
"US","Blount County, AL","US1009",2022-12-01,2022-12-31,30,2022,"12",0,72,0,72.6567029536386,-0.656702953638643,72,NA,-Inf,-0.00903843591771125,16.8,0,16.9532306891823,-0.15323068918235,16.8,NA,-Inf
"US","Blount County, AL","US1009",2023-01-01,2023-01-31,30,2023,"1",0,65,0,64.9223732490017,0.0776267509982631,65,NA,Inf,0.00119568566448636,15.1666666666667,0,15.1485537581004,0.0181129085662614,15.1666666666667,NA,Inf
"US","Blount County, AL","US1009",2023-02-01,2023-02-28,27,2023,"2",0,62,0,67.1039454479116,-5.1039454479116,62,NA,-Inf,-0.0760602884650569,16.0740740740741,0,17.3973191901993,-1.32324511612523,16.0740740740741,NA,-Inf
"US","Blount County, AL","US1009",2023-03-01,2023-03-31,30,2023,"3",0,60,0,69.9880435443662,-9.98804354436621,60,NA,-Inf,-0.142710712266656,14,0,16.3305434936855,-2.33054349368545,14,NA,-Inf
"US","Blount County, AL","US1009",2023-04-01,2023-04-30,29,2023,"4",0,53,0,68.0817754262207,-15.0817754262207,53,NA,-Inf,-0.221524414306213,12.7931034482759,0,16.4335319994326,-3.64042855115671,12.7931034482759,NA,-Inf
"US","Blount County, AL","US1009",2023-05-01,2023-05-31,30,2023,"5",0,26,0,64.7880435443662,-38.7880435443662,26,NA,-Inf,-0.598691385360395,6.06666666666667,0,15.1172101603521,-9.05054349368545,6.06666666666667,NA,-Inf
