"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"US","St. Clair County, AL","US1115",2023-04-01,2023-04-30,29,2023,"4",0,73,0,88.0247619047629,-15.0247619047629,73,NA,-Inf,-0.170687901672699,17.6206896551724,0,21.2473563218393,-3.6266666666669,17.6206896551724,NA,-Inf
"US","St. Clair County, AL","US1115",2023-05-01,2023-05-31,30,2023,"5",0,51,0,80.4807881773409,-29.4807881773409,51,NA,-Inf,-0.366308392909615,11.9,0,18.7788505747129,-6.87885057471288,11.9,NA,-Inf
"US","St. Clair County, AL","US1115",2020-01-01,2020-01-31,30,2020,"1",0,99,0,92.7003284072245,6.2996715927755,99,NA,Inf,0.0679573816082031,23.1,0,21.6300766283524,1.46992337164762,23.1,NA,Inf
"US","St. Clair County, AL","US1115",2020-02-01,2020-02-29,28,2020,"2",0,87,0,86.604257130694,0.395742869306034,87,NA,Inf,0.0045695544586084,21.75,0,21.6510642826735,0.0989357173265084,21.75,NA,Inf
"US","St. Clair County, AL","US1115",2020-03-01,2020-03-31,30,2020,"3",0,93,0,92.0403940886701,0.959605911329916,93,NA,Inf,0.0104259213667148,21.7,0,21.476091954023,0.22390804597698,21.7,NA,Inf
"US","St. Clair County, AL","US1115",2020-04-01,2020-04-30,29,2020,"4",0,83,0,84.3123809523811,-1.31238095238109,83,NA,-Inf,-0.0155656967287202,20.0344827586207,0,20.3512643678161,-0.316781609195436,20.0344827586207,NA,-Inf
"US","St. Clair County, AL","US1115",2020-05-01,2020-05-31,30,2020,"5",0,91,0,76.6403940886701,14.3596059113299,91,NA,Inf,0.187363414320605,21.2333333333333,0,17.8827586206897,3.35057471264365,21.2333333333333,NA,Inf
"US","St. Clair County, AL","US1115",2020-06-01,2020-06-30,29,2020,"6",0,91,0,78.9123809523811,12.0876190476189,91,NA,Inf,0.153177725747663,21.9655172413793,0,19.0478160919541,2.91770114942525,21.9655172413793,NA,Inf
"US","St. Clair County, AL","US1115",2020-07-01,2020-07-31,30,2020,"7",0,112,0,78.2403940886701,33.7596059113299,112,NA,Inf,0.431485632256275,26.1333333333333,0,18.256091954023,7.87724137931031,26.1333333333333,NA,Inf
"US","St. Clair County, AL","US1115",2020-08-01,2020-08-31,30,2020,"8",0,119,0,87.6403940886701,31.3596059113299,119,NA,Inf,0.357821370355796,27.7666666666667,0,20.4494252873564,7.31724137931031,27.7666666666667,NA,Inf
"US","St. Clair County, AL","US1115",2020-09-01,2020-09-30,29,2020,"9",0,103,0,74.1123809523811,28.8876190476189,103,NA,Inf,0.389781284535709,24.8620689655172,0,17.8891954022989,6.97287356321835,24.8620689655172,NA,Inf
"US","St. Clair County, AL","US1115",2020-10-01,2020-10-31,30,2020,"10",0,95,0,79.4403940886701,15.5596059113299,95,NA,Inf,0.195865165194958,22.1666666666667,0,18.536091954023,3.63057471264365,22.1666666666667,NA,Inf
"US","St. Clair County, AL","US1115",2020-11-01,2020-11-30,29,2020,"11",0,113,0,82.1123809523811,30.8876190476189,113,NA,Inf,0.376162750237767,27.2758620689655,0,19.8202298850575,7.45563218390801,27.2758620689655,NA,Inf
"US","St. Clair County, AL","US1115",2020-12-01,2020-12-31,30,2020,"12",0,135,0,89.0403940886701,45.9596059113299,135,NA,Inf,0.516165796229085,31.5,0,20.776091954023,10.723908045977,31.5,NA,Inf
"US","St. Clair County, AL","US1115",2021-01-01,2021-01-31,30,2021,"1",0,167,0,93.9804597701151,73.0195402298849,167,NA,Inf,0.77696513092719,38.9666666666667,0,21.9287739463602,17.0378927203065,38.9666666666667,NA,Inf
"US","St. Clair County, AL","US1115",2021-02-01,2021-02-28,27,2021,"2",0,93,0,84.6633661740564,8.33663382594361,93,NA,Inf,0.0984680175461559,24.1111111111111,0,21.9497616006813,2.16134951042982,24.1111111111111,NA,Inf
"US","St. Clair County, AL","US1115",2021-03-01,2021-03-31,30,2021,"3",0,87,0,93.3205254515606,-6.32052545156064,87,NA,-Inf,-0.067729209849353,20.3,0,21.7747892720308,-1.47478927203082,20.3,NA,-Inf
"US","St. Clair County, AL","US1115",2021-04-01,2021-04-30,29,2021,"4",0,100,0,85.549841269842,14.450158730158,100,NA,Inf,0.168909240691391,24.1379310344828,0,20.6499616858239,3.48796934865884,24.1379310344828,NA,Inf
"US","St. Clair County, AL","US1115",2021-05-01,2021-05-31,30,2021,"5",0,97,0,77.9205254515606,19.0794745484394,97,NA,Inf,0.244858135104596,22.6333333333333,0,18.1814559386975,4.45187739463585,22.6333333333333,NA,Inf
"US","St. Clair County, AL","US1115",2021-06-01,2021-06-30,29,2021,"6",0,99,0,80.149841269842,18.850158730158,99,NA,Inf,0.235186476124074,23.8965517241379,0,19.3465134099619,4.55003831417608,23.8965517241379,NA,Inf
"US","St. Clair County, AL","US1115",2021-07-01,2021-07-31,30,2021,"7",0,93,0,79.5205254515606,13.4794745484394,93,NA,Inf,0.169509374741874,21.7,0,18.5547892720308,3.14521072796918,21.7,NA,Inf
"US","St. Clair County, AL","US1115",2021-08-01,2021-08-31,30,2021,"8",0,114,0,88.9205254515606,25.0794745484394,114,NA,Inf,0.282043706119363,26.6,0,20.7481226053642,5.85187739463585,26.6,NA,Inf
"US","St. Clair County, AL","US1115",2021-09-01,2021-09-30,29,2021,"9",0,150,0,75.349841269842,74.650158730158,150,NA,Inf,0.990714213488808,36.2068965517241,0,18.1878927203067,18.0190038314175,36.2068965517241,NA,Inf
"US","St. Clair County, AL","US1115",2021-10-01,2021-10-31,30,2021,"10",0,107,0,80.7205254515606,26.2794745484394,107,NA,Inf,0.325561242341136,24.9666666666667,0,18.8347892720308,6.13187739463586,24.9666666666667,NA,Inf
"US","St. Clair County, AL","US1115",2021-11-01,2021-11-30,29,2021,"11",0,102,0,83.349841269842,18.650158730158,102,NA,Inf,0.223757579450918,24.6206896551724,0,20.1189272030653,4.50176245210711,24.6206896551724,NA,Inf
"US","St. Clair County, AL","US1115",2021-12-01,2021-12-31,30,2021,"12",0,103,0,90.3205254515607,12.6794745484393,103,NA,Inf,0.1403830910532,24.0333333333333,0,21.0747892720308,2.95854406130251,24.0333333333333,NA,Inf
"US","St. Clair County, AL","US1115",2022-01-01,2022-01-31,30,2022,"1",0,130,0,95.2605911330052,34.7394088669948,130,NA,Inf,0.364677653726616,30.3333333333333,0,22.2274712643679,8.10586206896545,30.3333333333333,NA,Inf
"US","St. Clair County, AL","US1115",2022-02-01,2022-02-28,27,2022,"2",0,129,0,85.8154844006575,43.1845155993425,129,NA,Inf,0.503225215133921,33.4444444444444,0,22.248458918689,11.1959855257555,33.4444444444444,NA,Inf
"US","St. Clair County, AL","US1115",2022-03-01,2022-03-31,30,2022,"3",0,109,0,94.6006568144508,14.3993431855492,109,NA,Inf,0.152211873262064,25.4333333333333,0,22.0734865900385,3.35984674329482,25.4333333333333,NA,Inf
"US","St. Clair County, AL","US1115",2022-04-01,2022-04-30,29,2022,"4",0,104,0,86.7873015873024,17.2126984126976,104,NA,Inf,0.198331992098898,25.1034482758621,0,20.9486590038316,4.15478927203045,25.1034482758621,NA,Inf
"US","St. Clair County, AL","US1115",2022-05-01,2022-05-31,30,2022,"5",0,99,0,79.2006568144508,19.7993431855492,99,NA,Inf,0.249989633696279,23.1,0,18.4801532567052,4.61984674329482,23.1,NA,Inf
"US","St. Clair County, AL","US1115",2022-06-01,2022-06-30,29,2022,"6",0,83,0,81.3873015873024,1.61269841269757,83,NA,Inf,0.0198151109724121,20.0344827586207,0,19.6452107279696,0.389272030651137,20.0344827586207,NA,Inf
"US","St. Clair County, AL","US1115",2022-07-01,2022-07-31,30,2022,"7",0,93,0,80.8006568144508,12.1993431855492,93,NA,Inf,0.150980742812074,21.7,0,18.8534865900385,2.84651340996149,21.7,NA,Inf
"US","St. Clair County, AL","US1115",2022-08-01,2022-08-31,30,2022,"8",0,97,0,90.2006568144508,6.79934318554922,97,NA,Inf,0.0753801959506344,22.6333333333333,0,21.0468199233718,1.58651340996148,22.6333333333333,NA,Inf
"US","St. Clair County, AL","US1115",2022-09-01,2022-09-30,29,2022,"9",0,90,0,76.5873015873024,13.4126984126976,90,NA,Inf,0.175129533678744,21.7241379310345,0,18.4865900383144,3.2375478927201,21.7241379310345,NA,Inf
"US","St. Clair County, AL","US1115",2022-10-01,2022-10-31,30,2022,"10",0,74,0,82.0006568144507,-8.00065681445075,74,NA,-Inf,-0.0975682040273709,17.2666666666667,0,19.1334865900385,-1.86681992337184,17.2666666666667,NA,-Inf
"US","St. Clair County, AL","US1115",2022-11-01,2022-11-30,29,2022,"11",0,100,0,84.5873015873024,15.4126984126976,100,NA,Inf,0.182210546068669,24.1379310344828,0,20.417624521073,3.72030651340976,24.1379310344828,NA,Inf
"US","St. Clair County, AL","US1115",2022-12-01,2022-12-31,30,2022,"12",0,116,0,91.6006568144508,24.3993431855492,116,NA,Inf,0.266366465417091,27.0666666666667,0,21.3734865900385,5.69318007662815,27.0666666666667,NA,Inf
"US","St. Clair County, AL","US1115",2023-01-01,2023-01-31,30,2023,"1",0,123,0,96.5407224958953,26.4592775041047,123,NA,Inf,0.27407374649832,28.7,0,22.5261685823756,6.17383141762442,28.7,NA,Inf
"US","St. Clair County, AL","US1115",2023-02-01,2023-02-28,27,2023,"2",0,87,0,86.9676026272586,0.0323973727413716,87,NA,Inf,0.000372522315927437,22.5555555555556,0,22.5471562366967,0.00839931885887411,22.5555555555556,NA,Inf
"US","St. Clair County, AL","US1115",2023-03-01,2023-03-31,30,2023,"3",0,93,0,95.8807881773409,-2.8807881773409,93,NA,-Inf,-0.0300455204019872,21.7,0,22.3721839080462,-0.672183908046211,21.7,NA,-Inf
"US","St. Clair County, AL","US1115",2023-04-01,2023-04-30,29,2023,"4",0,73,0,88.0247619047629,-15.0247619047629,73,NA,-Inf,-0.170687901672699,17.6206896551724,0,21.2473563218393,-3.6266666666669,17.6206896551724,NA,-Inf
"US","St. Clair County, AL","US1115",2023-05-01,2023-05-31,30,2023,"5",0,51,0,80.4807881773409,-29.4807881773409,51,NA,-Inf,-0.366308392909615,11.9,0,18.7788505747129,-6.87885057471288,11.9,NA,-Inf
